TimestepsSoFar,EpisodesSoFar,Ptt,Tmc,meankl,TtR,entropy,Tmt,entloss,surrgain,optimgain,AttNC,TimeElapsed,MtR,Tbt,AttC,MpbtN,MpbtA
759809,6303,80.69849205991957,20.945945945945947,0.0054772557,-67.27027027027027,0.23526679,83.0,0.0,0.0037570312,0.0037570312,0.972972972972973,16348.07131242752,-37.60199037706508,339968.0,0.02702702702702703,81.02891051531448,18.971089484685546
769753,6340,80.4015198586568,21.27027027027027,0.007709944,-65.54054054054055,0.2170025,82.70270270270271,0.0,0.0039004318,0.0039004318,0.9459459459459459,16450.87406563759,-36.60630162511883,338750.2702702703,0.05405405405405406,79.22637558607397,20.773624413926022
779804,6377,79.47101406902964,22.27027027027027,0.00544678,-65.78378378378379,0.23077661,81.70270270270271,0.0,0.0025518707,0.0025518707,1.0,16555.69503927231,-36.81273767211488,334654.2702702703,0.0,80.5325766203359,19.467423379664094
789898,6418,80.01865217586959,21.682926829268293,0.0072424286,-66.17073170731707,0.19418687,82.29268292682927,0.0,0.0016320221,0.0016320221,0.8780487804878049,16667.407252311707,-38.671634888687414,337070.8292682927,0.12195121951219512,80.38080566207537,19.61919433792463
799837,6456,79.45287727953064,22.289473684210527,0.011981221,-65.76315789473684,0.1594236,81.6842105263158,0.0,0.0026852745,0.0026852745,0.9473684210526315,16771.12935233116,-36.67498764930741,334578.5263157895,0.05263157894736842,80.51470933211293,19.485290667887064
809825,6493,80.31797371157876,21.35135135135135,0.0072188904,-67.45945945945945,0.19072606,82.56756756756756,0.0,0.0027106705,0.0027106705,1.0,16875.410272359848,-37.50964816582617,338196.75675675675,0.0,81.72654068536785,18.273459314632127
819897,6530,80.224571469069,21.45945945945946,0.010337532,-67.56756756756756,0.15917465,82.51351351351352,0.0,0.004843849,0.004843849,0.972972972972973,16981.099594593048,-38.01805123807198,337975.35135135136,0.02702702702702703,81.85628170521149,18.143718294788517
829880,6566,80.66853244664775,20.97222222222222,0.0087324865,-68.02777777777777,0.2067977,82.94444444444444,0.0,0.006962836,0.006962836,1.0,17087.396069049835,-37.653731023258075,339740.44444444444,0.0,82.01172025577235,17.98827974422764
839886,6602,78.99718564050382,22.77777777777778,0.0026070643,-65.41666666666667,0.19232632,81.19444444444444,0.0,0.0015623474,0.0015623474,0.9166666666666666,17192.925158023834,-36.21682759712358,332572.44444444444,0.08333333333333333,80.5532378279309,19.446762172069104
849891,6642,80.55300496932806,21.1,0.006197772,-69.025,0.17850861,82.825,0.0,0.0033489258,0.0033489258,0.85,17303.864533424377,-39.5868984610562,339251.2,0.15,83.34504829460413,16.65495170539588
859982,6680,80.83700688658831,20.789473684210527,0.006456302,-68.89473684210526,0.16222936,83.10526315789474,0.0,0.0029692757,0.0029692757,0.9473684210526315,17411.791888952255,-38.61511063541644,340399.15789473685,0.05263157894736842,82.89287021190212,17.107129788097865
869893,6717,80.69606038779071,20.945945945945947,0.002847612,-69.56756756756756,0.18700963,82.97297297297297,0.0,0.0015771629,0.0015771629,0.972972972972973,17517.268398284912,-38.96566682983066,339857.2972972973,0.02702702702702703,83.83684565857439,16.163154341425603
879989,6754,81.87090994553508,19.675675675675677,0.009312341,-69.16216216216216,0.20777139,84.21621621621621,0.0,0.004837518,0.004837518,1.0,17623.203297138214,-38.52731100692523,344949.6216216216,0.0,82.08851524698731,17.91148475301267
889928,6791,80.62718794853728,21.027027027027028,0.009860176,-68.27027027027027,0.20776229,82.94594594594595,0.0,0.0065285554,0.0065285554,0.9459459459459459,17727.864020347595,-38.27609868818214,339746.5945945946,0.05405405405405406,82.28774097679374,17.71225902320626
899912,6829,80.79721769389587,20.842105263157894,0.007949031,-67.97368421052632,0.22231242,83.10526315789474,0.0,0.0059947176,0.0059947176,0.868421052631579,17832.452548503876,-38.20680759546076,340399.15789473685,0.13157894736842105,81.7754451310391,18.224554868960887
909890,6868,80.55377690835687,21.102564102564102,0.011104125,-66.8974358974359,0.15428454,82.84615384615384,0.0,0.004020322,0.004020322,0.717948717948718,17938.72699737549,-37.49773456151002,339337.8461538461,0.28205128205128205,80.76463236664421,19.23536763335581
919735,6904,79.48939502514278,22.25,0.0059389328,-66.5,0.21969126,81.72222222222223,0.0,0.0041764555,0.0041764555,0.8611111111111112,18045.265427350998,-37.11420714494469,334734.22222222225,0.1388888888888889,81.33889866349678,18.661101336503236
929833,6942,79.84422070051195,21.86842105263158,0.005891666,-67.3157894736842,0.20409127,82.10526315789474,0.0,0.0029587173,0.0029587173,0.8421052631578947,18154.16806125641,-37.814617718483596,336303.15789473685,0.15789473684210525,81.94478414102502,18.055215858974968
939862,6980,80.20443532530264,21.473684210526315,0.0069018477,-67.23684210526316,0.1937733,82.44736842105263,0.0,0.0035422195,0.0035422195,0.868421052631579,18259.023190498352,-38.3308203167513,337704.4210526316,0.13157894736842105,81.48423156326257,18.51576843673747
949861,7018,80.69600107863714,20.94736842105263,0.008239016,-67.94736842105263,0.21343574,83.0,0.0,0.00602538,0.00602538,0.8421052631578947,18365.82893514633,-38.64370185413972,339968.0,0.15789473684210525,81.84053448245217,18.159465517547822
959902,7058,80.60634702351254,21.05,0.005750203,-68.175,0.18684958,82.925,0.0,0.0030141936,0.0030141936,0.7,18474.95371723175,-38.43021554811507,339660.8,0.3,82.20862223666096,17.791377763339046
969772,7096,80.50683618311689,21.157894736842106,0.0043175654,-67.92105263157895,0.18487036,82.8157894736842,0.0,0.0021843659,0.0021843659,0.868421052631579,18578.154289722443,-38.245047360504245,339213.4736842105,0.13157894736842105,82.00425193344489,17.99574806655512
979888,7135,80.20119486513057,21.487179487179485,0.008589038,-67.66666666666667,0.20321895,82.48717948717949,0.0,0.0021625473,0.0021625473,0.9230769230769231,18684.379313230515,-37.919321298198234,337867.4871794872,0.07692307692307693,82.04378822234358,17.9562117776564
989864,7172,79.95309160636624,21.756756756756758,0.009217488,-66.45945945945945,0.21447398,82.24324324324324,0.0,0.004691589,0.004691589,0.9459459459459459,18789.28391766548,-37.398261050992254,336868.3243243243,0.05405405405405406,80.80966618900534,19.190333810994666
999931,7210,79.60527187079916,22.13157894736842,0.009679545,-65.21052631578948,0.2449565,81.86842105263158,0.0,0.00821033,0.00821033,0.868421052631579,18893.421384572983,-36.886585895257944,335333.05263157893,0.13157894736842105,79.63144939106496,20.368550608935045
1009947,7250,80.21559043587584,21.475,0.009051966,-66.2,0.2578767,82.525,0.0,0.0046751085,0.0046751085,0.6,19002.89625120163,-37.75950653274529,338022.4,0.4,80.21345627145647,19.786543728543514
1019895,7291,80.42288466470816,21.24390243902439,0.0049445895,-65.92682926829268,0.23431817,82.70731707317073,0.0,0.0028934723,0.0028934723,0.4634146341463415,19110.204650878906,-37.67792192838145,338769.1707317073,0.5365853658536586,79.69983330567325,20.300166694326744
