EpisodesSoFar,AttNC,MtR,TimeElapsed,TimestepsSoFar,optimgain,Fce,entloss,surrgain,AttC,TtR,meankl,entropy
16302,0.8888888888888888,16.787257319325043,14937.547711610794,3399939,0.0041785734,0.1401777777777778,0.0,0.0041785734,0.1111111111111111,29.511111111111113,0.0032811332,0.4814271
16346,0.8863636363636364,15.990929357198349,14976.962204933167,3409800,0.00518338,0.11905387205387206,0.0,0.00518338,0.11363636363636363,28.068181818181817,0.003597916,0.48370612
16395,0.8163265306122449,15.25943623190917,15025.12803030014,3419809,0.004976759,0.10669387755102042,0.0,0.004976759,0.1836734693877551,26.6734693877551,0.0037160888,0.5017425
16440,0.8888888888888888,15.649437301027408,15070.530853748322,3429866,0.0048783743,0.11390691823899372,0.0,0.0048783743,0.1111111111111111,27.733333333333334,0.0036631597,0.53113955
16484,0.9090909090909091,16.278677806582305,15111.788568258286,3439874,0.0040220567,0.1205757575757576,0.0,0.0040220567,0.09090909090909091,28.272727272727273,0.0028278206,0.53717035
16529,0.8888888888888888,16.97734508956682,15152.263864994049,3449889,0.004436023,0.12113015873015875,0.0,0.004436023,0.1111111111111111,29.511111111111113,0.003001086,0.5243231
16575,0.8695652173913043,17.48679200493366,15192.328059196472,3459935,0.0040292456,0.1226800445930881,0.0,0.0040292456,0.13043478260869565,30.434782608695652,0.0039466177,0.5286284
16618,0.9302325581395349,18.25077987860768,15238.268269777298,3469938,0.0047459565,0.1270697674418605,0.0,0.0047459565,0.06976744186046512,31.767441860465116,0.0035552757,0.557292
16670,0.7692307692307693,14.454946422492817,15292.755106210709,3480000,0.00470707,0.11008108700416394,0.0,0.00470707,0.23076923076923078,25.153846153846153,0.003597162,0.54971373
16716,0.8478260869565217,15.654327566462946,15334.533038854599,3489857,0.0037664445,0.11153981436248171,0.0,0.0037664445,0.15217391304347827,27.41304347826087,0.0036043457,0.5419225
16762,0.8695652173913043,16.507697110373986,15374.148397922516,3499893,0.0035972558,0.12462568715642179,0.0,0.0035972558,0.13043478260869565,28.869565217391305,0.0034444092,0.5661101
16805,0.9302325581395349,18.271284019479662,15415.04842376709,3509896,0.004033705,0.12641860465116284,0.0,0.004033705,0.06976744186046512,31.6046511627907,0.0035242103,0.58053845
