EpisodesSoFar,TtR,Fce,TimestepsSoFar,TimeElapsed,MtR,optimgain,entloss,AttNC,surrgain,meankl,AttC,entropy
16650,80.29787234042553,0.13301713318734595,3649863,18843.69700884819,15.208322578720505,0.0014629649,0.0,1.6595744680851063,0.0014629649,0.006222119,1.3404255319148937,1.4228158
16692,81.5,0.11141844358153374,3659856,18896.450680732727,15.632906476885049,0.0009452993,0.0,1.9761904761904763,0.0009452993,0.0022181713,1.0238095238095237,1.429312
16736,82.0909090909091,0.11774288464118975,3669962,18945.866341352463,15.709484522860903,0.0005800537,0.0,1.8636363636363635,0.0005800537,0.0024937352,1.1363636363636365,1.4532013
16779,82.81395348837209,0.11738660306102167,3679778,18995.94348669052,15.867254439169917,0.0011530324,0.0,1.744186046511628,0.0011530324,0.0065180925,1.255813953488372,1.4165817
16824,83.06666666666666,0.11507070707070709,3689833,19049.192826747894,15.780236348310853,0.0008318639,0.0,1.6666666666666667,0.0008318639,0.0035012169,1.3333333333333333,1.3871216
16870,81.78260869565217,0.13069565217391305,3699859,19105.529962539673,15.687371254437581,0.0005887848,0.0,1.8478260869565217,0.0005887848,0.006307505,1.1521739130434783,1.3660125
16917,73.2127659574468,0.13132262038565423,3709793,19156.063932657242,13.947667589635415,0.00052820233,0.0,1.7446808510638299,0.00052820233,0.0019145549,1.2553191489361701,1.37052
16963,86.67391304347827,0.12763918587154513,3719911,19207.708792209625,16.59470275957498,0.0010512177,0.0,1.673913043478261,0.0010512177,0.0014973189,1.326086956521739,1.3529898
17022,65.13559322033899,0.14371493369186003,3729907,19256.229404211044,12.59194608056736,0.001204721,0.0,1.2542372881355932,0.001204721,0.0068658893,1.7457627118644068,1.3264568
17063,86.70731707317073,0.11918851879827494,3739877,19315.913046360016,16.891335317685208,0.00088571827,0.0,1.9268292682926829,0.00088571827,0.0033177293,1.0731707317073171,1.309327
17108,82.26666666666667,0.12689664902998235,3749930,19367.602269649506,15.782975852267212,0.0004645528,0.0,1.7333333333333334,0.0004645528,0.0018973782,1.2666666666666666,1.2953684
17153,74.46666666666667,0.10975551397347064,3759800,19422.520791769028,14.293991192763771,0.0009944352,0.0,1.7555555555555555,0.0009944352,0.0040952414,1.2444444444444445,1.289756
17199,79.69565217391305,0.11590812035663293,3769902,19470.064480304718,15.252274287353233,0.00021175842,0.0,1.6956521739130435,0.00021175842,0.012644059,1.3043478260869565,1.2791234
17242,80.79069767441861,0.11295514542026175,3779957,19519.87526345253,15.319639968031924,0.0023772328,0.0,1.7906976744186047,0.0023772328,0.005555619,1.2093023255813953,1.2800301
17285,83.72093023255815,0.12010733452593919,3789978,19571.021284341812,16.167901192091424,0.0020321924,0.0,1.930232558139535,0.0020321924,0.0056200665,1.069767441860465,1.280774
17332,69.06382978723404,0.100888643271622,3799782,19625.42547774315,13.13066442036253,0.00095749815,0.0,1.702127659574468,0.00095749815,0.0013783094,1.297872340425532,1.2776272
17381,70.28571428571429,0.10699913795080283,3809887,19675.444730997086,13.538541778953208,0.0011867279,0.0,1.653061224489796,0.0011867279,0.0065676533,1.346938775510204,1.2813206
17429,71.1875,0.1238333333333333,3819929,19726.754643917084,13.501565080024049,0.0007668498,0.0,1.75,0.0007668498,0.0017105468,1.25,1.2657503
17471,80.71428571428571,0.10761904761904767,3829935,19776.888266563416,15.332746480911494,0.00041321514,0.0,1.8571428571428572,0.00041321514,0.0036945948,1.1428571428571428,1.2456163
17512,84.36585365853658,0.11248780487804878,3839938,19831.834184408188,15.815375670861807,0.0010659625,0.0,1.9268292682926829,0.0010659625,0.0014196829,1.0731707317073171,1.263356
17555,81.0,0.11026193390452879,3849959,19881.661179304123,15.713071829499247,0.0010864635,0.0,1.7674418604651163,0.0010864635,0.003519467,1.2325581395348837,1.2780658
17595,90.675,0.12090000000000004,3859959,19934.728556632996,17.297735058790067,0.0008471303,0.0,2.05,0.0008471303,0.002506981,0.95,1.2573766
17639,80.04545454545455,0.11049694574200507,3869997,19986.787603378296,15.349282343538226,0.00024238027,0.0,1.7045454545454546,0.00024238027,0.004108337,1.2954545454545454,1.2770482
17681,74.92857142857143,0.10734941249226965,3879772,20039.65286040306,14.35579758845053,0.0010832021,0.0,2.0,0.0010832021,0.0025660116,1.0,1.2903544
17725,75.81818181818181,0.1064438366325159,3889866,20085.98651456833,14.374598745228987,0.0010935001,0.0,1.8409090909090908,0.0010935001,0.003670157,1.1590909090909092,1.3103125
17768,83.30232558139535,0.14151937984496127,3899895,20136.913566827774,15.972578181369501,5.1121522e-05,0.0,1.7906976744186047,5.1121522e-05,0.004301234,1.2093023255813953,1.2794088
17810,82.21428571428571,0.11675736961451248,3909931,20192.300987243652,15.906325662507497,0.0010962905,0.0,1.8333333333333333,0.0010962905,0.0016734492,1.1666666666666667,1.2975945
17851,85.2439024390244,0.11365853658536589,3919948,20246.04292869568,16.053108306971488,0.0011575908,0.0,1.9024390243902438,0.0011575908,0.002175555,1.0975609756097562,1.3173348
17894,81.97674418604652,0.11450305433501233,3929987,20296.293875217438,15.691679965858167,0.0010471339,0.0,1.813953488372093,0.0010471339,0.0019313487,1.186046511627907,1.3295994
17937,77.02325581395348,0.10918675123326287,3939785,20346.086666345596,14.68081939855026,0.00060290325,0.0,1.9069767441860466,0.00060290325,0.0023436304,1.0930232558139534,1.3574703
17980,84.83720930232558,0.11932457027300306,3949824,20400.701251983643,16.11560841115569,0.0012055354,0.0,1.6744186046511629,0.0012055354,0.0015050519,1.3255813953488371,1.3779305
18026,78.52173913043478,0.118652362130623,3959858,20451.85674405098,15.002872585512161,0.0005795817,0.0,1.8043478260869565,0.0005795817,0.0044446522,1.1956521739130435,1.3810643
18075,75.48979591836735,0.10611324343344047,3969961,20505.84065270424,14.311448183958424,0.0002561381,0.0,1.489795918367347,0.0002561381,0.0054126354,1.510204081632653,1.3870375
18120,77.8,0.11808198430880293,3979831,20555.964243888855,14.946084885534942,0.00063476054,0.0,1.8888888888888888,0.00063476054,0.0017807055,1.1111111111111112,1.3671974
18163,87.83720930232558,0.12034551495016613,3989840,20610.82664179802,16.7278193458911,0.0013840526,0.0,1.8604651162790697,0.0013840526,0.0064081727,1.1395348837209303,1.3197768
18204,83.85365853658537,0.11180487804878055,3999841,20658.98592019081,16.02107347964492,0.0011252762,0.0,2.073170731707317,0.0011252762,0.0057849204,0.926829268292683,1.3173083
