EpisodesSoFar,AttC,AttNC,MtR,MpbtN,TimeElapsed,Ptt,TtR,meankl,Tmc,optimgain,TimestepsSoFar,entropy,Tmt,entloss,MpbtA,surrgain,Tbt
19910,2.1136363636363638,0.8863636363636364,-29.469466284160408,64.87062189682908,51769.90100359917,75.51421636209648,-151.1590909090909,0.005295643,26.522727272727273,0.0057458207,3889883,0.17280231,77.47727272727273,0.0,35.12937810317091,0.0057458207,317346.9090909091
19955,1.9777777777777779,1.0222222222222221,-29.033880155787603,62.50393418977327,51893.00608587265,74.90956812809777,-144.33333333333334,0.005275713,27.177777777777777,0.006042731,3899920,0.17299305,76.84444444444445,0.0,37.49606581022673,0.006042731,314754.84444444446
20000,1.9111111111111112,1.0888888888888888,-28.101695125614597,60.25454258408754,52013.27040028572,74.66303910184743,-138.46666666666667,0.0057295114,27.444444444444443,0.0071246186,3909844,0.19466262,76.57777777777778,0.0,39.74545741591245,0.0071246186,313662.5777777778
20045,1.7555555555555555,1.2444444444444445,-28.725363969027917,62.26406914738007,52129.7027554512,75.02818067219702,-143.86666666666667,0.005063048,27.044444444444444,0.0063199513,3919931,0.17878535,76.95555555555555,0.0,37.735930852619916,0.0063199513,315209.9555555555
20088,1.6511627906976745,1.3488372093023255,-27.344443636440797,61.609179138388214,52247.82856488228,73.73407286541588,-139.95348837209303,0.005392381,28.441860465116278,0.006683384,3929999,0.18332978,75.6046511627907,0.0,38.390820861611786,0.006683384,309676.6511627907
20131,1.8837209302325582,1.1162790697674418,-28.112254431941462,62.398014922310935,52366.81645607948,74.7856541167407,-143.72093023255815,0.0056772907,27.302325581395348,0.006588511,3939975,0.1741335,76.69767441860465,0.0,37.60198507768906,0.006588511,314153.67441860464
20175,1.9772727272727273,1.0227272727272727,-29.246781557864402,63.18489031512665,52488.89874124527,74.14019734503519,-144.13636363636363,0.00461161,28.0,0.004412738,3949818,0.17886856,76.02272727272727,0.0,36.81510968487336,0.004412738,311389.0909090909
20219,1.75,1.25,-29.553546403009864,63.576567044996956,52607.07840180397,75.85520314769359,-148.70454545454547,0.0056278748,26.15909090909091,0.006801422,3959793,0.17159994,77.8409090909091,0.0,36.423432955003065,0.006801422,318836.36363636365
20263,1.8863636363636365,1.1136363636363635,-28.50786375259519,63.2208874622516,52723.017075538635,75.13268112632873,-146.38636363636363,0.005350878,26.931818181818183,0.0067807636,3969940,0.16341075,77.06818181818181,0.0,36.77911253774841,0.0067807636,315671.2727272727
20307,1.75,1.25,-29.08064847456562,62.60956880328393,52843.125119924545,74.55791349139918,-144.0,0.005976413,27.568181818181817,0.008180686,3979850,0.18718152,76.5,0.0,37.39043119671606,0.008180686,313344.0
20353,1.934782608695652,1.065217391304348,-27.756533397281142,60.04110953845175,52959.837453603745,74.33790661233114,-137.41304347826087,0.0059153973,27.782608695652176,0.007116626,3989930,0.19252215,76.21739130434783,0.0,39.95889046154825,0.007116626,312186.4347826087
20397,1.9318181818181819,1.0681818181818181,-27.768364980716445,61.06847924962592,53075.43223834038,74.65089853154409,-140.52272727272728,0.005251947,27.454545454545453,0.00632276,3999994,0.1786207,76.56818181818181,0.0,38.93152075037405,0.00632276,313623.2727272727
20441,1.7272727272727273,1.2727272727272727,-28.52579443459656,62.35847950752893,53190.360947847366,75.39380046015525,-144.95454545454547,0.0058693863,26.65909090909091,0.0063683284,4009827,0.18426283,77.36363636363636,0.0,37.64152049247105,0.0063683284,316881.45454545453
