Tbt,Tmc,AttNC,AttC,EpisodesSoFar,TimestepsSoFar,Ptt,surrgain,optimgain,TimeElapsed,meankl,Tmt,MpbtA,MpbtN,TtR,MtR,entropy,entloss
335136.8205128205,22.128205128205128,0.6153846153846154,0.38461538461538464,10130,1709906,79.59981480510581,0.003181131,0.003181131,25089.530597925186,0.0067740153,81.82051282051282,20.604122494383507,79.39587750561653,-64.97435897435898,-36.460036657886484,0.16272527,0.0
339660.8,21.075,0.725,0.275,10170,1719952,80.58818557461464,0.0045514945,0.0045514945,25168.36563682556,0.004758147,82.925,19.132744837970847,80.86725516202917,-67.075,-37.679331172128464,0.17014667,0.0
333561.4358974359,22.564102564102566,0.7435897435897436,0.2564102564102564,10209,1729952,79.20306848817638,0.007691068,0.007691068,25246.026161909103,0.007080495,81.43589743589743,19.645868831684624,80.35413116831536,-65.43589743589743,-36.86206484390944,0.18347791,0.0
338269.65853658534,21.365853658536587,0.5853658536585366,0.4146341463414634,10250,1739947,80.31058639094319,0.006665733,0.006665733,25327.36432313919,0.0068279617,82.58536585365853,20.095687556227386,79.90431244377262,-66.0,-37.663811053360874,0.16753772,0.0
334296.6153846154,22.358974358974358,0.5641025641025641,0.4358974358974359,10289,1749887,79.38903368771408,0.0060595083,0.0060595083,25406.067478895187,0.0069711516,81.61538461538461,19.868578203506075,80.13142179649394,-65.38461538461539,-36.73834637762788,0.17345041,0.0
336817.23076923075,21.71794871794872,0.7948717948717948,0.20512820512820512,10328,1759791,79.98173038934338,0.004986017,0.004986017,25484.004200220108,0.0042119604,82.23076923076923,19.661806504756658,80.33819349524336,-66.05128205128206,-37.345630575566844,0.15722531,0.0
332746.1052631579,22.763157894736842,0.6842105263157895,0.3157894736842105,10366,1769753,79.01598086220568,0.005322067,0.005322067,25562.823194026947,0.0056939716,81.23684210526316,19.91330404918987,80.08669595081015,-65.07894736842105,-36.08205705151678,0.16997121,0.0
334926.76923076925,22.23076923076923,0.8461538461538461,0.15384615384615385,10405,1779790,79.51371710778514,0.00503486,0.00503486,25640.065008878708,0.005407201,81.76923076923077,20.166181443169965,79.83381855683004,-65.28205128205128,-37.078058575012335,0.17331667,0.0
334794.1052631579,22.263157894736842,0.868421052631579,0.13157894736842105,10443,1789927,79.48238445004695,0.005104672,0.005104672,25716.01463007927,0.0062424704,81.73684210526316,21.68868762161152,78.31131237838846,-64.02631578947368,-35.91365842584579,0.16998294,0.0
335117.4736842105,22.157894736842106,0.7894736842105263,0.21052631578947367,10481,1799797,79.5776609153495,0.006748575,0.006748575,25794.580501794815,0.007161194,81.8157894736842,20.105654917817308,79.89434508218271,-65.39473684210526,-37.12443384544494,0.17312409,0.0
