TtR,Ptt,entropy,TimestepsSoFar,AttNC,surrgain,AttC,entloss,Tmt,EpisodesSoFar,Tmc,MtR,MpbtA,meankl,Tbt,optimgain,TimeElapsed,MpbtN
-71.34210526315789,79.55426630579933,0.1696079,1949866,0.7894736842105263,0.008956079,0.21052631578947367,0.0,81.8157894736842,11002,22.18421052631579,-40.01633895420026,12.833039543461762,0.004617202,335117.4736842105,0.008956079,30310.977310419083,87.16696045653826
-70.86486486486487,80.87770836501839,0.19908254,1959932,0.7297297297297297,0.011138176,0.2702702702702703,0.0,83.21621621621621,11039,20.756756756756758,-38.99744449333072,14.870056804338262,0.0054317736,340853.6216216216,0.011138176,30416.189247369766,85.12994319566175
-70.76315789473684,80.04402147788777,0.19344588,1969976,0.7631578947368421,0.008555701,0.23684210526315788,0.0,82.34210526315789,11077,21.657894736842106,-39.39954154670417,14.048698381396763,0.0045729927,337273.2631578947,0.008555701,30526.686057567596,85.95130161860324
-71.3157894736842,80.71671122936516,0.17546988,1979892,0.8157894736842105,0.0066975784,0.18421052631578946,0.0,83.0,11115,20.92105263157895,-39.877233977090235,14.125641250469767,0.00393995,339968.0,0.0066975784,30643.31109881401,85.87435874953024
-71.05263157894737,80.99555517308151,0.19785793,1989776,0.7894736842105263,0.011053328,0.21052631578947367,0.0,83.34210526315789,11153,20.63157894736842,-39.804942464987896,14.764241439135981,0.0056615616,341369.2631578947,0.011053328,30749.889580726624,85.235758560864
-70.36842105263158,80.4980739557835,0.19792014,1999891,0.6842105263157895,0.008542596,0.3157894736842105,0.0,82.76315789473684,11191,21.157894736842106,-39.16387178968273,14.996611721209385,0.0051142825,338997.8947368421,0.008542596,30857.532549619675,85.0033882787906
-69.08108108108108,79.66145647066074,0.1873081,2009742,0.6486486486486487,0.007520639,0.35135135135135137,0.0,81.86486486486487,11228,22.054054054054053,-38.5949512212528,15.64927624102892,0.004737369,335318.4864864865,0.007520639,30972.034964323044,84.3507237589711
-70.26315789473684,80.0813836330676,0.19243176,2019745,0.631578947368421,0.007581809,0.3684210526315789,0.0,82.3157894736842,11266,21.605263157894736,-38.78101566140755,14.656048002339707,0.0045223585,337165.4736842105,0.007581809,31081.85095357895,85.34395199766028
-70.5,80.38268655769225,0.20015123,2029855,0.7894736842105263,0.011710232,0.21052631578947367,0.0,82.6842105263158,11304,21.289473684210527,-39.011462173655765,14.765892493315299,0.005337609,338674.5263157895,0.011710232,31196.81924843788,85.2341075066847
-70.36842105263158,79.96621767759275,0.19821464,2039799,0.631578947368421,0.013907409,0.3684210526315789,0.0,82.23684210526316,11342,21.736842105263158,-39.82118924719506,14.486827324509758,0.0057768044,336842.1052631579,0.013907409,31326.236466646194,85.51317267549024
-70.0,80.13984141137193,0.18868893,2049966,0.575,0.008580379,0.425,0.0,82.425,11382,21.55,-39.18355835377904,15.059741630376408,0.0052679568,337612.8,0.008580379,31454.413034439087,84.94025836962359
-70.21621621621621,80.32065912374206,0.18479536,2059714,0.5675675675675675,0.009450056,0.43243243243243246,0.0,82.5945945945946,11419,21.35135135135135,-38.18443999799727,14.996805522738045,0.0047740866,338307.45945945947,0.009450056,31583.46404528618,85.00319447726197
-69.53846153846153,79.97797726090832,0.20162863,2069975,0.46153846153846156,0.008897827,0.5384615384615384,0.0,82.23076923076923,11458,21.71794871794872,-38.2455582103311,15.471796740133929,0.0044343215,336817.23076923075,0.008897827,31708.105863809586,84.5282032598661
-70.36842105263158,80.75849255421575,0.21173058,2080000,0.6578947368421053,0.0125758,0.34210526315789475,0.0,83.0,11496,20.86842105263158,-39.63120819718182,15.265586215909584,0.0056794565,339968.0,0.0125758,31828.818298101425,84.7344137840904
-69.66666666666667,80.17400743223325,0.21258125,2089711,0.6388888888888888,0.00869225,0.3611111111111111,0.0,82.38888888888889,11532,21.5,-38.65891513564275,15.451026443725263,0.0045185843,337464.8888888889,0.00869225,31954.697615623474,84.54897355627473
-69.2,80.05547868714837,0.2252687,2099767,0.45,0.00875885,0.55,0.0,82.25,11572,21.625,-38.751799622795986,15.85100614387816,0.0053952406,336896.0,0.00875885,32065.297708511353,84.14899385612185
-70.19047619047619,80.23160229469586,0.19074489,2109864,0.4523809523809524,0.008086391,0.5476190476190477,0.0,82.52380952380952,11614,21.452380952380953,-39.350591745846685,14.921885388582155,0.00449871,338017.5238095238,0.008086391,32181.61902308464,85.07811461141785
-69.82051282051282,81.07069521908959,0.21233201,2119930,0.6666666666666666,0.009039624,0.3333333333333333,0.0,83.35897435897436,11653,20.53846153846154,-39.59856575255468,16.27880664399222,0.004303799,341438.358974359,0.009039624,32288.790726661682,83.7211933560078
-69.36842105263158,79.76696924116038,0.22538677,2129850,0.5526315789473685,0.01175538,0.4473684210526316,0.0,82.0,11691,21.94736842105263,-39.155686564548645,15.444750468041374,0.0062284265,335872.0,0.01175538,32397.95753288269,84.55524953195864
-69.2051282051282,80.03320802922993,0.20788887,2139796,0.48717948717948717,0.009794876,0.5128205128205128,0.0,82.3076923076923,11730,21.666666666666668,-38.39176456714622,15.914284350556144,0.005305882,337132.3076923077,0.009794876,32509.37953186035,84.08571564944388
-70.05,80.09281433196057,0.19541453,2149881,0.5,0.009150159,0.5,0.0,82.375,11770,21.6,-39.20872226554118,15.034893255279425,0.0037879937,337408.0,0.009150159,32623.657866477966,84.9651067447206
-70.92105263157895,81.03917738049904,0.20659348,2159901,0.631578947368421,0.008648492,0.3684210526315789,0.0,83.36842105263158,11808,20.57894736842105,-39.00642683741657,14.951752463564743,0.005114315,341477.05263157893,0.008648492,32730.57544851303,85.04824753643526
-68.71794871794872,79.7651711563047,0.19954248,2169964,0.5897435897435898,0.008186173,0.41025641025641024,0.0,82.0,11847,21.94871794871795,-38.14190848443652,16.196586748464807,0.0040120785,335872.0,0.008186173,32842.47674036026,83.80341325153519
-70.15384615384616,80.0786085489457,0.19178715,2179886,0.5384615384615384,0.008648964,0.46153846153846156,0.0,82.35897435897436,11886,21.615384615384617,-39.728123580699624,14.840033146078248,0.00488207,337342.358974359,0.008648964,32954.03376674652,85.15996685392177
-69.25641025641026,80.17919039344308,0.20999864,2189992,0.5641025641025641,0.010592975,0.4358974358974359,0.0,82.48717948717949,11925,21.512820512820515,-38.54911296233618,16.044809850119382,0.005077667,337867.4871794872,0.010592975,33064.868827819824,83.95519014988061
-70.37837837837837,79.70077944091459,0.20287026,2199927,0.7027027027027027,0.0071223145,0.2972972972972973,0.0,81.97297297297297,11962,22.027027027027028,-38.66374637196511,14.175649966132498,0.0046371697,335761.2972972973,0.0071223145,33173.70148897171,85.82435003386749
-69.8108108108108,79.79782341099741,0.21872613,2209772,0.7567567567567568,0.010510535,0.24324324324324326,0.0,82.05405405405405,11999,21.91891891891892,-38.73629846738752,14.941448069620817,0.0065833144,336093.4054054054,0.010510535,33280.16422557831,85.0585519303792
-70.45,79.92763805108135,0.2096438,2219761,0.575,0.0087904725,0.425,0.0,82.175,12039,21.775,-39.91748399740271,14.302542399028985,0.0042401985,336588.8,0.0087904725,33396.98606276512,85.69745760097103
-68.28205128205128,79.32064023637082,0.22895174,2229899,0.5128205128205128,0.011133727,0.48717948717948717,0.0,81.56410256410257,12078,22.435897435897434,-37.88154613305995,16.282272502698227,0.0060086646,334086.5641025641,0.011133727,33509.044704437256,83.71772749730177
-69.75,80.24910789562242,0.2000648,2239800,0.65,0.0066534607,0.35,0.0,82.5,12118,21.425,-40.912864793485106,15.481110879449071,0.004498587,337920.0,0.0066534607,33636.972126960754,84.51888912055091
-70.09756097560975,80.28258764832324,0.21946658,2249897,0.5853658536585366,0.009199212,0.4146341463414634,0.0,82.53658536585365,12159,21.390243902439025,-39.832059076636135,15.11527345329265,0.0047632055,338069.85365853657,0.009199212,33765.56901431084,84.88472654670736
-70.55263157894737,80.84819685432211,0.21882896,2259816,0.6842105263157895,0.008825836,0.3157894736842105,0.0,83.1842105263158,12197,20.789473684210527,-39.30126150927927,15.197662216218074,0.0048584105,340722.5263157895,0.008825836,33888.67602586746,84.80233778378194
-70.71794871794872,80.99822433950297,0.22554661,2269835,0.6666666666666666,0.01058736,0.3333333333333333,0.0,83.28205128205128,12236,20.615384615384617,-39.8812392131277,15.142943481544108,0.006038672,341123.28205128206,0.01058736,34012.2284052372,84.85705651845592
-69.65,80.11757782626024,0.21530733,2279818,0.525,0.006521703,0.475,0.0,82.4,12276,21.575,-38.435783646873666,15.475887656872079,0.0041215196,337510.4,0.006521703,34139.69822502136,84.52411234312794
